Frame,Fragment_Type,Count
0,O2,98
0,O4,1
0,H2,200
0,H,1
1,O2,87
1,HO2,7
1,HO,6
1,O,3
1,H2O2,1
1,H2O,1
1,H,286
1,H2,49
2,O2,77
2,O,8
2,HO,14
2,HO2,10
2,H2O,4
2,H,275
2,H2,47
3,O2,75
3,O3,1
3,O,4
3,HO,13
3,H2O,4
3,HO2,9
3,H2O2,4
3,H,271
3,H2,46
4,O2,71
4,O3,1
4,O,3
4,HO,12
4,H2O,9
4,HO2,10
4,H2O2,4
4,HO3,1
4,H,240
4,H2,56
5,O2,67
5,HO3,2
5,O3,1
5,HO2,11
5,HO,10
5,H2O,15
5,H2O2,4
5,O,2
5,H,234
5,H2,53
6,O2,68
6,O3,1
6,HO2,10
6,HO,9
6,H2O,17
6,H3O4,1
6,H2O2,5
6,O,1
6,H2,57
6,H,221
7,O2,67
7,O3,1
7,HO2,11
7,HO,4
7,H2O,19
7,H2O3,1
7,H2O2,5
7,H3O2,1
7,HO3,1
7,H2,50
7,H,232
8,O2,68
8,O3,1
8,HO2,8
8,HO3,1
8,HO,14
8,H2O,20
8,H2O2,4
8,H,244
8,H2,43
9,O2,68
9,H2O2,4
9,HO,11
9,H2O,23
9,HO2,9
9,O,1
9,HO3,1
9,H,202
9,H2,62
10,O2,67
10,HO2,11
10,HO,7
10,H2O,25
10,O3,1
10,HO3,1
10,H2O2,3
10,H,214
10,H2,56
11,O2,67
11,H2O2,6
11,H2O,25
11,HO2,10
11,O3,1
11,H3O,1
11,HO,5
11,H,221
11,H2,50
12,O2,70
12,H2O2,7
12,H2O,28
12,HO2,7
12,HO,4
12,H,216
12,H2,52
13,O2,68
13,H2O2,7
13,H2O,30
13,HO2,8
13,O3,1
13,HO,1
13,H2,49
13,H,220
14,O2,67
14,H2O2,6
14,HO2,8
14,H2O,29
14,HO,6
14,H3O,1
14,O,2
14,H,202
14,H2,56
15,O2,67
15,H2O2,4
15,HO2,10
15,H2O,27
15,HO,10
15,O,1
15,H,217
15,H2,51
16,HO2,11
16,O2,67
16,H2O2,5
16,H2O,29
16,HO,4
16,H3O,1
16,H,221
16,H2,47
17,HO,4
17,O,1
17,O2,64
17,H2O2,6
17,HO2,11
17,H2O,30
17,HO3,1
17,H,223
17,H2,45
18,O2,64
18,H2O2,4
18,HO2,9
18,HO,9
18,O,1
18,H2O,29
18,O4,1
18,HO3,1
18,H,222
18,H2,47
19,HO2,13
19,O2,64
19,H2O2,4
19,H2O,32
19,HO,6
19,H2,59
19,H,192
20,HO,5
20,O,5
20,O2,60
20,H2O2,5
20,HO2,11
20,H2O,33
20,O4,1
20,H3O,1
20,H,228
20,H2,39
21,HO2,13
21,O2,61
21,H2O2,6
21,HO,5
21,H2O,34
21,O,1
21,H,209
21,H2,47
22,O2,61
22,H2O2,5
22,HO2,10
22,HO,8
22,H2O,35
22,O,1
22,HO4,1
22,H,212
22,H2,45
23,HO2,9
23,O2,61
23,HO,14
23,H2O,34
23,HO3,1
23,H2O2,4
23,O,1
23,H,203
23,H2,49
24,O2,63
24,H2O,38
24,HO,9
24,HO2,6
24,H2O4,1
24,H3O,1
24,H2O2,5
24,H,203
24,H2,46
25,O2,59
25,H2O,39
25,HO,12
25,HO2,9
25,H3O,1
25,H2O2,5
25,O,2
25,H,205
25,H2,42
26,O2,58
26,HO,13
26,H2O,39
26,HO2,9
26,H2O2,6
26,O,2
26,H2,38
26,H,213
27,O2,56
27,H2O,40
27,HO,8
27,H3O,1
27,HO3,1
27,HO2,12
27,H2O2,6
27,H2,44
27,H,197
28,O2,56
28,H2O2,8
28,H2O,44
28,HO,7
28,HO3,2
28,HO2,7
28,O,1
28,H,195
28,H2,43
29,O2,56
29,HO2,13
29,H2O,44
29,HO,7
29,H2O2,5
29,O,1
29,H,191
29,H2,46
30,O2,55
30,H2O2,6
30,HO4,1
30,H2O,47
30,O,2
30,HO,13
30,HO2,6
30,H2,45
30,H,185
31,O,3
31,HO,8
31,H2O2,6
31,O2,53
31,H2O,50
31,HO2,9
31,HO3,1
31,H,211
31,H2,30
32,H2O2,10
32,O2,52
32,H2O,50
32,HO2,9
32,HO,7
32,O,1
32,H,179
32,H2,43
33,H2O2,10
33,O2,54
33,H2O,51
33,O,3
33,HO,8
33,HO2,5
33,H,178
33,H2,44
34,H2O2,10
34,O2,52
34,H2O,53
34,HO3,1
34,HO2,8
34,HO,3
34,O,1
34,H2,39
34,H,185
35,H2O2,11
35,O2,52
35,H2O,53
35,HO,6
35,O,2
35,HO2,5
35,HO3,1
35,H,159
35,H2,51
36,H2O2,11
36,O2,52
36,H2O,52
36,HO,10
36,HO2,4
36,HO3,1
36,H3O,1
36,H,171
36,H2,43
37,H2O2,8
37,HO,10
37,O2,50
37,H2O,55
37,O3,1
37,HO2,8
37,H,167
37,H2,45
38,H2O2,8
38,HO2,9
38,O2,51
38,H2O,56
38,HO,7
38,O,1
38,H2,37
38,H,183
39,H2O2,10
39,O2,52
39,H2O,59
39,HO2,6
39,HO,5
39,H,176
39,H2,38
40,HO,16
40,O2,51
40,H2O,58
40,HO2,8
40,H2O2,3
40,O,2
40,H,187
40,H2,34
41,H2O2,10
41,HO,8
41,O2,51
41,H2O,59
41,HO2,5
41,O,1
41,H,172
41,H2,39
42,H2O2,9
42,HO,9
42,O2,50
42,H2O,57
42,HO2,7
42,H3O,2
42,H,169
42,H2,39
43,H2O2,8
43,HO,11
43,O2,51
43,H2O,56
43,HO2,7
43,H3O,1
43,H,176
43,H2,38
44,H2O2,13
44,O2,50
44,H2O,59
44,HO2,5
44,HO,3
44,H4O2,1
44,H2,36
44,H,173
45,H2O2,11
45,O2,47
45,H2O,60
45,HO2,8
45,HO,5
45,O,3
45,H,178
45,H2,34
46,HO,6
46,H2O2,11
46,O2,46
46,H2O,60
46,HO2,10
46,H,161
46,H2,41
47,H2O2,12
47,O2,47
47,H2O,60
47,HO2,9
47,HO,4
47,H2,38
47,H,168
48,H2O2,10
48,O2,46
48,H2O,60
48,HO,8
48,HO2,10
48,H,175
48,H2,34
49,H2O2,11
49,O2,49
49,H2O,62
49,HO2,6
49,HO,6
49,H,163
49,H2,40
50,H2O2,10
50,O2,48
50,HO,10
50,H2O,59
50,HO2,7
50,H3O,1
50,H,161
50,H2,41
51,H2O2,11
51,O2,49
51,H2O,61
51,HO,5
51,HO2,6
51,O,1
51,H3O,1
51,H,149
51,H2,47
52,H2O2,12
52,HO,6
52,O2,47
52,H2O,60
52,HO2,8
52,H,171
52,H2,36
53,H2O2,9
53,HO,11
53,O2,48
53,H3O,1
53,H2O,62
53,HO2,6
53,H,165
53,H2,37
54,H2O2,9
54,O2,48
54,H2O,62
54,HO,13
54,HO2,5
54,H3O,1
54,H,172
54,H2,33
55,H2O2,11
55,O2,48
55,HO,12
55,H2O,58
55,HO2,6
55,H,163
55,H2,41
56,H2O2,11
56,O2,48
56,H3O,1
56,H2O,58
56,HO,11
56,HO2,6
56,H2,41
56,H,161
57,HO,12
57,O,1
57,O2,49
57,H2O,60
57,H2O2,9
57,HO2,4
57,H3O,1
57,H3O2,1
57,H2,31
57,H,179
58,H2O2,9
58,HO,5
58,O2,49
58,H3O,1
58,H2O,66
58,HO2,6
58,H,161
58,H2,38
59,H2O2,8
59,HO,11
59,O2,47
59,H2O,64
59,HO2,7
59,H3O,1
59,H,160
59,H2,38
60,H2O2,9
60,O2,48
60,H2O,60
60,HO2,6
60,HO,12
60,H3O,2
60,H,179
60,H2,30
61,H2O2,5
61,HO,15
61,O2,46
61,H2O,62
61,HO2,8
61,H3O,1
61,HO4,1
61,H,182
61,H2,29
62,HO2,10
62,H2O,64
62,O2,44
62,HO,13
62,H2O2,7
62,H3O,1
62,H2,41
62,H,151
63,H2O2,10
63,H2O,71
63,O2,44
63,HO2,8
63,HO,5
63,H,150
63,H2,38
64,HO,10
64,H2O,70
64,O2,44
64,H2O2,8
64,HO2,8
64,H,151
64,H2,38
65,HO,9
65,H2O,70
65,O2,43
65,HO2,9
65,H2O2,8
65,O,1
65,H,163
65,H2,32
66,H2O2,13
66,H2O,69
66,O2,44
66,HO2,4
66,HO,9
66,H2,35
66,H,154
67,H2O2,12
67,H2O,71
67,O2,43
67,HO,6
67,HO2,5
67,O3,1
67,H,166
67,H2,29
68,H2O2,11
68,H2O,67
68,O2,44
68,HO,12
68,HO2,3
68,O,2
68,O3,1
68,H2,31
68,H,168
69,HO2,6
69,H2O,68
69,O2,42
69,HO,13
69,H2O2,10
69,O3,1
69,H,164
69,H2,31
70,H2O2,12
70,H2O,72
70,O2,44
70,HO,8
70,O,1
70,HO2,2
70,O3,1
70,H,153
70,H2,35
71,H2O2,13
71,H2O,69
71,O2,44
71,HO2,2
71,HO,10
71,HO3,1
71,H2,35
71,H,154
72,H2O2,11
72,H2O,66
72,O2,44
72,HO,15
72,HO2,3
72,HO3,1
72,H,160
72,H2,34
73,H2O2,9
73,H2O,66
73,O2,43
73,H3O2,1
73,HO2,1
73,HO,17
73,O3,1
73,H3O,1
73,H2O3,1
73,O,2
73,H,165
73,H2,30
74,H2O2,8
74,H2O,70
74,O2,43
74,HO,10
74,HO2,4
74,O,2
74,O3,1
74,HO3,1
74,H3O2,1
74,H,165
74,H2,31
75,H2O2,8
75,H2O,73
75,O2,42
75,HO2,6
75,HO,9
75,O3,1
75,H2O3,1
75,H,144
75,H2,39
76,HO,12
76,H2O,69
76,O2,43
76,H2O2,10
76,HO2,5
76,HO3,1
76,H2,33
76,H,159
77,H2O2,11
77,H2O,68
77,O2,44
77,O,3
77,H3O,1
77,HO,10
77,HO2,4
77,H2,25
77,H,176
78,H2O2,10
78,H2O,73
78,O2,45
78,HO,7
78,HO2,3
78,H3O,1
78,H2O3,1
78,H,154
78,H2,33
79,HO,8
79,H2O,73
79,O2,46
79,H2O2,10
79,H3O,1
79,HO2,1
79,H2O3,1
79,O,1
79,H,165
79,H2,28
80,H2O2,11
80,H2O,73
80,O2,46
80,HO,8
80,H3O,1
80,HO2,2
80,H2,37
80,H,146
81,HO2,5
81,H2O,76
81,O2,42
81,O4,1
81,H2O2,11
81,HO,3
81,H3O,1
81,H,138
81,H2,39
82,HO2,5
82,H2O,79
82,O2,45
82,HO,2
82,O,1
82,H2O2,9
82,H,136
82,H2,41
83,HO2,5
83,H2O,76
83,O2,45
83,H2O2,9
83,HO,1
83,HO3,1
83,H3O,2
83,H2,36
83,H,146
84,O2,46
84,H3O,2
84,H2O,74
84,HO2,3
84,H2O2,10
84,HO,3
84,HO3,1
84,H,148
84,H2,36
85,O2,45
85,H3O,1
85,H2O,76
85,HO,6
85,HO2,5
85,H2O2,8
85,O,1
85,H,145
85,H2,37
86,O2,44
86,H2O,75
86,HO2,6
86,HO,11
86,H2O2,7
86,H2,26
86,H,168
87,O2,44
87,H2O,79
87,HO2,6
87,H2O2,9
87,HO,3
87,H,156
87,H2,30
88,O2,44
88,H2O,78
88,HO2,5
88,H2O2,8
88,HO,5
88,HO3,1
88,H,164
88,H2,27
89,O2,45
89,H2O,76
89,HO2,5
89,HO,7
89,H2O2,8
89,H3O,1
89,H,140
89,H2,39
90,O2,42
90,H2O,76
90,HO2,5
90,H2O2,9
90,HO,7
90,O,1
90,HO3,1
90,H3O,1
90,H,143
90,H2,36
91,O2,43
91,H2O,72
91,HO,16
91,HO2,5
91,H2O2,6
91,H3O,2
91,O,2
91,H,150
91,H2,34
92,O2,43
92,H2O,72
92,O,1
92,HO5,1
92,H2O2,5
92,HO,17
92,O4,1
92,HO2,2
92,H3O,1
92,H,152
92,H2,36
93,O2,44
93,H2O,74
93,H3O,2
93,HO,13
93,H2O2,7
93,HO3,1
93,O,2
93,HO2,2
93,H,159
93,H2,29
94,O2,44
94,H2O,78
94,H3O,2
94,HO,10
94,H2O2,7
94,HO2,4
94,H,167
94,H2,22
95,O2,45
95,H2O,74
95,HO,10
95,H3O,3
95,H2O2,8
95,HO2,2
95,H2O3,1
95,H,138
95,H2,38
96,O2,42
96,H2O,77
96,HO,9
96,H3O,2
96,H2O2,10
96,HO2,4
96,H,150
96,H2,29
97,O2,42
97,H2O,81
97,H2O2,8
97,HO,4
97,H3O,3
97,HO2,6
97,H,150
97,H2,27
98,O2,40
98,H2O,81
98,HO,13
98,H3O,1
98,HO2,4
98,H2O2,8
98,O,1
98,H2,30
98,H,143
99,O2,39
99,H2O,80
99,HO,14
99,H2O3,1
99,H2O2,8
99,HO3,1
99,HO2,3
99,H,147
99,H2,29
100,O2,40
100,H2O,83
100,HO,12
100,H2O3,1
100,H2O2,8
100,HO2,3
100,H,148
100,H2,27
